jj,amount,label
21.29,3845.2,BestInitial
12.1,475.67,BestIndividual
15.52,362.03,BestIndividual
11.31,355.13,BestIndividual
10.04,237.51,BestIndividual
9.71,230.43,BestIndividual
9.72,229.63,BestIndividual
9.89,229.62,BestIndividual
9.53,229.42,BestIndividual
9.9,229.05,BestIndividual
14.13,215.18,BestIndividual
14.64,208.53,BestIndividual
16.71,180.37,BestIndividual
29.09,93.77,BestIndividual
16.93,117.72,BestIndividual
14.25,135.53,BestIndividual
11.45,119.51,BestIndividual
11.19,125.63,BestIndividual
8.99,131.31,BestIndividual
8.86,132.36,BestIndividual
8.33,138.79,BestIndividual
6.81,139,BestIndividual
5.89,147.04,BestIndividual
5.14,143.52,BestIndividual
4.48,149.9,BestIndividual
4.47,149.93,BestIndividual
4.47,149.92,BestIndividual
4.47,149.58,BestIndividual
4.47,149.59,BestIndividual
4.19,149.87,BestIndividual
4.19,149.86,BestIndividual
4.15,149.85,BestIndividual
4.14,149.98,BestIndividual
3.97,142.76,BestIndividual
3.96,142.07,BestIndividual
3.87,148.39,BestIndividual
3.87,148.4,BestIndividual
3.87,140.45,BestIndividual
3.7,140.45,BestIndividual
3.7,140.44,BestIndividual
3.48,139.06,BestIndividual
3.44,139.01,BestIndividual
2.88,123.77,BestIndividual
2.36,149.17,BestIndividual
1.94,145.66,BestIndividual
1.93,145.82,BestIndividual
1.56,136.92,BestIndividual
1.56,136.18,BestIndividual
1.55,136.19,BestIndividual
1.53,139.56,BestIndividual
1.51,139.38,BestIndividual
1.5,137.62,BestIndividual
1.46,137.62,BestIndividual
1.45,137.2,BestIndividual
1.25,138.51,BestIndividual
1.25,138.23,BestIndividual
1.24,138.41,BestIndividual
1.23,137.98,BestIndividual
1.23,137.59,BestIndividual
1.21,134.2,BestIndividual
1.2,134.22,BestIndividual
1.19,135.05,BestIndividual
1.16,135.2,BestIndividual
1.13,135.2,BestIndividual
1.1,135.45,BestIndividual
1.09,136.1,BestIndividual
1.09,135.51,BestIndividual
1.06,135.79,BestIndividual
1.05,135.77,BestIndividual
1.05,135.78,BestIndividual
1.04,135.81,BestIndividual
1.04,135.73,BestIndividual
1.05,133.72,BestIndividual
1.05,133.69,BestIndividual
1.05,133.75,BestIndividual
1.04,133.77,BestIndividual
1.08,128.94,BestIndividual
1.07,128.95,BestIndividual
1.07,129.08,BestIndividual
1.07,128.88,BestIndividual
1.07,128.88,BestLast
32.23,12374.37,BestInitial
30.3,4760.69,BestIndividual
14.24,3976.17,BestIndividual
13.85,3183.05,BestIndividual
21.12,1389.82,BestIndividual
14.46,699.17,BestIndividual
1.95,487.02,BestIndividual
13.97,436.73,BestIndividual
3.97,321.47,BestIndividual
15.75,301.14,BestIndividual
16.28,293.63,BestIndividual
16.79,285.09,BestIndividual
15.87,277.88,BestIndividual
17.58,161.87,BestIndividual
16.18,160.86,BestIndividual
95.1,159.62,BestIndividual
87.96,139.99,BestIndividual
59.11,146.42,BestIndividual
