jj,amount,label
21.284,3845.198,BestInitial
12.091,475.663,BestIndividual
15.511,362.025,BestIndividual
11.306,355.122,BestIndividual
10.033,237.507,BestIndividual
9.701,230.426,BestIndividual
9.717,229.628,BestIndividual
9.888,229.62,BestIndividual
9.529,229.417,BestIndividual
9.898,229.049,BestIndividual
14.13,215.18,BestIndividual
14.637,208.528,BestIndividual
16.703,180.363,BestIndividual
29.085,93.763,BestIndividual
16.93,117.714,BestIndividual
14.244,135.529,BestIndividual
11.449,119.503,BestIndividual
11.449,119.502,BestIndividual
11.186,125.625,BestIndividual
8.985,131.305,BestIndividual
8.858,132.356,BestIndividual
8.322,138.783,BestIndividual
6.807,138.998,BestIndividual
5.885,147.033,BestIndividual
5.14,143.513,BestIndividual
4.472,149.9,BestIndividual
4.47,149.923,BestIndividual
4.47,149.919,BestIndividual
4.465,149.578,BestIndividual
4.464,149.585,BestIndividual
4.464,149.582,BestIndividual
4.186,149.861,BestIndividual
4.186,149.858,BestIndividual
4.185,149.852,BestIndividual
4.145,149.846,BestIndividual
4.131,149.971,BestIndividual
3.967,142.754,BestIndividual
3.954,142.069,BestIndividual
3.868,148.39,BestIndividual
3.868,148.397,BestIndividual
3.864,140.445,BestIndividual
3.863,140.449,BestIndividual
3.7,140.445,BestIndividual
3.7,140.431,BestIndividual
3.697,140.431,BestIndividual
3.471,139.055,BestIndividual
3.433,139.004,BestIndividual
2.874,123.766,BestIndividual
2.352,149.161,BestIndividual
1.933,145.653,BestIndividual
1.93,145.816,BestIndividual
1.56,136.92,BestIndividual
1.558,136.175,BestIndividual
1.548,136.183,BestIndividual
1.527,139.557,BestIndividual
1.502,139.372,BestIndividual
1.492,137.617,BestIndividual
1.451,137.617,BestIndividual
1.448,137.192,BestIndividual
1.25,138.508,BestIndividual
1.245,138.222,BestIndividual
1.236,138.402,BestIndividual
1.221,137.973,BestIndividual
1.223,137.586,BestIndividual
1.204,134.192,BestIndividual
1.197,134.218,BestIndividual
1.182,135.05,BestIndividual
1.159,135.193,BestIndividual
1.158,135.043,BestIndividual
1.125,135.196,BestIndividual
1.096,135.446,BestIndividual
1.081,136.099,BestIndividual
1.082,135.509,BestIndividual
1.06,135.782,BestIndividual
1.043,135.766,BestIndividual
1.042,135.772,BestIndividual
1.041,135.787,BestIndividual
1.04,135.81,BestIndividual
1.04,135.721,BestIndividual
1.046,133.716,BestIndividual
1.046,133.684,BestIndividual
1.045,133.743,BestIndividual
1.039,133.681,BestIndividual
1.038,133.769,BestIndividual
1.078,128.94,BestIndividual
1.066,128.943,BestIndividual
1.064,129.073,BestIndividual
1.064,128.88,BestIndividual
32.228,12374.367,BestInitial
30.298,4760.682,BestIndividual
14.238,3976.167,BestIndividual
13.847,3183.046,BestIndividual
21.12,1389.815,BestIndividual
14.46,699.166,BestIndividual
1.944,487.018,BestIndividual
13.964,436.723,BestIndividual
3.961,321.465,BestIndividual
15.746,301.137,BestIndividual
16.273,293.625,BestIndividual
16.786,285.081,BestIndividual
15.867,277.871,BestIndividual
17.572,161.867,BestIndividual
16.171,160.86,BestIndividual
95.098,159.614,BestIndividual
87.953,139.983,BestIndividual
59.109,146.411,BestIndividual
58.934,146.339,BestIndividual
48.302,144.379,BestIndividual
36.661,148.702,BestIndividual
17.734,140.955,BestIndividual
17.684,140.955,BestIndividual
14.341,129.989,BestIndividual
14.324,132.028,BestIndividual
9.377,149.12,BestIndividual
9.335,148.753,BestIndividual
8.559,144.611,BestIndividual
8.542,146.242,BestIndividual
8.096,147.097,BestIndividual
8.075,147.354,BestIndividual
8.073,147.836,BestIndividual
7.914,147.354,BestIndividual
7.581,148.287,BestIndividual
7.481,148.788,BestIndividual
7.41,148.917,BestIndividual
7.092,147.91,BestIndividual
7.087,147.807,BestIndividual
7.012,147.8,BestIndividual
6.946,148.672,BestIndividual
6.922,148.373,BestIndividual
6.784,147.541,BestIndividual
6.745,147.489,BestIndividual
6.69,146.03,BestIndividual
6.595,146.006,BestIndividual
6.558,148.568,BestIndividual
6.556,148.571,BestIndividual
6.549,148.571,BestIndividual
6.493,148.598,BestIndividual
6.493,148.591,BestIndividual
6.484,148.538,BestIndividual
6.474,148.538,BestIndividual
6.474,148.546,BestIndividual
6.468,148.538,BestIndividual
6.442,148.538,BestIndividual
3.688,147.711,BestIndividual
3.621,147.171,BestIndividual
3.493,105.703,BestIndividual
3.473,113.375,BestIndividual
3.308,113.679,BestIndividual
3.296,114.948,BestIndividual
3.08,113.958,BestIndividual
3.061,128.997,BestIndividual
3.006,149.318,BestIndividual
2.987,149.198,BestIndividual
2.978,143.838,BestIndividual
2.978,143.715,BestIndividual
2.955,142.642,BestIndividual
2.9,142.599,BestIndividual
2.898,142.631,BestIndividual
2.858,143.027,BestIndividual
2.845,143.529,BestIndividual
2.841,147.604,BestIndividual
2.602,137.759,BestIndividual
2.6,138.402,BestIndividual
2.596,138.4,BestIndividual
2.551,137.878,BestIndividual
2.521,137.867,BestIndividual
2.518,137.361,BestIndividual
2.495,144.18,BestIndividual
2.145,144.191,BestIndividual
2.069,144.147,BestIndividual
2.057,144.112,BestIndividual
1.911,136.781,BestIndividual
1.868,135.153,BestIndividual
1.848,134.434,BestIndividual
1.844,136.839,BestIndividual
1.844,136.879,BestIndividual
1.726,137.766,BestIndividual
1.726,137.756,BestIndividual
1.725,137.763,BestIndividual
1.725,137.769,BestIndividual
1.708,143.353,BestIndividual
1.703,143.388,BestIndividual
1.613,138.045,BestIndividual
1.611,138.093,BestIndividual
1.605,138.363,BestIndividual
1.603,138.296,BestIndividual
1.598,137.797,BestIndividual
1.55,136.853,BestIndividual
1.548,149.194,BestIndividual
1.547,149.014,BestIndividual
1.537,145.444,BestIndividual
1.527,127.821,BestIndividual
1.52,127.817,BestIndividual
1.5,134.006,BestIndividual
1.495,133.511,BestIndividual
1.494,133.507,BestIndividual
1.435,136.63,BestIndividual
1.431,136.04,BestIndividual
1.394,137.264,BestIndividual
1.391,137.26,BestIndividual
1.378,137.227,BestIndividual
1.367,136.844,BestIndividual
1.368,136.729,BestIndividual
1.365,136.837,BestIndividual
1.363,136.873,BestIndividual
1.344,137.131,BestIndividual
1.284,138.988,BestIndividual
1.283,139.043,BestIndividual
1.283,138.618,BestIndividual
1.267,138.825,BestIndividual
1.313,133.625,BestIndividual
1.269,135.652,BestIndividual
1.267,135.58,BestIndividual
1.267,135.569,BestIndividual
1.269,135.403,BestIndividual
1.293,133.395,BestIndividual
1.292,133.35,BestIndividual
1.317,130.4,BestIndividual
1.314,130.386,BestIndividual
1.316,129.786,BestIndividual
1.308,129.766,BestIndividual
1.269,128.885,BestIndividual
1.277,124.621,BestIndividual
1.269,124.562,BestIndividual
1.268,124.582,BestIndividual
1.07,135.472,BestIndividual
1.015,136.22,BestIndividual
50.346,6953.638,BestInitial
50.23,6712.169,BestIndividual
60.49,1373.497,BestIndividual
50.773,985.083,BestIndividual
28.973,663.807,BestIndividual
11.51,337.441,BestIndividual
10.038,302.924,BestIndividual
10.038,302.704,BestIndividual
10.973,289.438,BestIndividual
14.175,270.405,BestIndividual
14.36,261.206,BestIndividual
14.273,225.845,BestIndividual
14.544,221.318,BestIndividual
11.726,220.765,BestIndividual
17.73,133.446,BestIndividual
17.811,130.516,BestIndividual
17.866,130.279,BestIndividual
17.122,128.858,BestIndividual
17.135,128.129,BestIndividual
19.042,128.07,BestIndividual
18.869,121.697,BestIndividual
18.788,121.664,BestIndividual
17.108,120.754,BestIndividual
17.77,119.794,BestIndividual
15.722,119.231,BestIndividual
13.472,119.953,BestIndividual
13.355,119.969,BestIndividual
13.066,119.958,BestIndividual
10.312,102.069,BestIndividual
9.762,106.965,BestIndividual
9.205,106.814,BestIndividual
9.196,106.814,BestIndividual
9.195,106.814,BestIndividual
9.18,106.808,BestIndividual
8.835,115.843,BestIndividual
8.747,115.843,BestIndividual
8.674,115.665,BestIndividual
8.343,115.665,BestIndividual
6.581,106.495,BestIndividual
6.58,106.501,BestIndividual
5.831,103.408,BestIndividual
4.878,105.429,BestIndividual
4.688,101.566,BestIndividual
4.25,113.94,BestIndividual
4.12,114.388,BestIndividual
3.74,115.511,BestIndividual
3.734,115.499,BestIndividual
3.34,116.72,BestIndividual
3.305,118.089,BestIndividual
3.222,118.066,BestIndividual
3.033,115.731,BestIndividual
2.54,117.56,BestIndividual
2.41,117.59,BestIndividual
2.407,117.565,BestIndividual
2.4,118.059,BestIndividual
2.398,117.558,BestIndividual
2.398,117.556,BestIndividual
2.396,117.487,BestIndividual
2.392,117.643,BestIndividual
2.39,117.655,BestIndividual
2.38,117.669,BestIndividual
2.38,117.672,BestIndividual
2.38,117.683,BestIndividual
2.278,117.035,BestIndividual
2.259,117.416,BestIndividual
2.22,117.892,BestIndividual
2.179,118.079,BestIndividual
2.167,118.102,BestIndividual
2.166,118.107,BestIndividual
2.159,117.901,BestIndividual
2.15,118.019,BestIndividual
2.138,117.385,BestIndividual
2.137,117.385,BestIndividual
2.135,117.398,BestIndividual
2.116,117.368,BestIndividual
2.047,117.297,BestIndividual
2.043,117.309,BestIndividual
2.041,117.313,BestIndividual
2.041,117.314,BestIndividual
2.036,117.298,BestIndividual
2.034,117.303,BestIndividual
2.033,117.308,BestIndividual
